,Date,Open,High,Low,Close,Volume,Symbol,ADX,DITrend,SMA200,EMA50,EMA20,CCI,RSI,MA_Trend,MADI_Trend,TMA21_50_X,TodayPrice,marketCap,GEM_Rank,CountryName,IndustrySector,High52,Low52,Pct2H52,PctfL52,RSIUturnTypeOld,TrendReversal_Rules,TrendReversal_ML,RSIUpTrend,LastTrendDays,LastTrendType,Trend,ScanDate,SignalClassifier_Rules,SignalClassifier_ML
0,2025-10-29,10.22,10.23,10.22,10.23,1281,AACB,17.47278967427056,Bull,0.0,10.149386101683522,10.191365303366554,91.65286148404864,61.11751779234799,Bull,Bull,0,10.27,298.496,3198,USA,N/A,10.27,9.85,0.0,4.089581304771173,ERR_INSUFF_DATA,NoReversal,NoReversal,0,-2,Continuation,Weak_Bull,2025-11-13 02:56:14,0,0
1,2025-10-30,10.6,10.6,10.56,10.56,417,AAM,32.25115782264578,Bull,10.344745,10.515531632857227,10.54708649039163,83.33333333333128,55.79264314034036,Bull,Bull,0,10.63,467.44363,2969,USA,N/A,10.79,10.04,1.4828544949026745,5.55032925682033,ERR_NO_TREND,NoReversal,NoReversal,0,3,Reversal_Down,Strong_Bull,2025-11-13 02:56:15,4,0
2,2025-10-30,142.93,145.27,142.205,143.36,1519645,A,31.51801686078017,Bull,123.54479999999998,134.24172574167397,141.40987278039105,24.914330841673483,59.92528069268748,Bull,Bull,0,151.52,41100.477,1602,USA,Life Sciences Tools & Services,153.84,96.43,1.5080603224128963,36.35823653643083,ERR_NO_TREND,BearishReversalModerate,NoReversal,0,-3,Reversal_Up,Strong_Bull,2025-11-13 02:56:17,3,1
3,2025-10-30,12.79,13.155,12.7,12.78,53795604,AAL,24.383856357115373,Bull,12.412524999999999,12.301004155986357,12.469567635720137,81.57881838152396,54.5115405257858,Bull,Bull,0,13.46,8350.094,2930,USA,Airlines,19.1,8.5,29.52879581151833,36.84992570579495,ERR_NO_TREND,NoReversal,NoReversal,0,1,Reversal_Down,Average_Bull,2025-11-13 02:56:17,4,4
4,2025-10-30,38.0,38.0,36.3,36.76,10180221,AA,23.858416356284184,Bull,31.415149999999986,34.78302440880536,37.030619133958574,-3.729458955612397,51.223544744785386,Nil,Bull,0,40.03,9269.616,2071,USA,Metals & Mining,47.75,21.53,16.167539267015705,46.2153384961279,ERR_NO_TREND,NoReversal,NoReversal,0,-3,Continuation,Average_Bull,2025-11-13 02:56:17,3,4
5,2025-10-30,2.82,2.93,2.82,2.87,8085,AAME,16.46651245251182,Bear,2.133420999999997,2.9443050626372367,2.9849489764325132,-41.73570283270968,42.29057433119207,Nil,Nil,0,3.0,62.007576,942,USA,Insurance,3.71,1.2477,19.137466307277627,58.410000000000004,ERR_NO_TREND,NoReversal,NoReversal,0,-4,Continuation,Weak_Nil,2025-11-13 02:56:18,2,-1
6,2025-10-30,51.0,54.99,49.665,49.7,719051,AAMI,17.938329420248518,Bull,34.96689999999993,46.53412501663571,47.752066018022305,204.7112402991181,62.17504907929088,Bull,Bull,0,44.54,1535.7938,612,USA,Financial Services,54.99,22.6,19.00345517366795,49.259092950157154,ERR_NO_TREND,NoReversal,NoReversal,0,-2,Reversal_Up,Weak_Bull,2025-11-13 02:56:20,4,2
7,2025-10-30,100.89,104.525,99.45,100.66,762922,AAON,21.949582181797517,Bull,90.60872500000005,94.6997267615424,100.40383269047395,-19.1855278333204,52.93879094272952,Bull,Bull,0,102.04,7332.0537,2158,USA,Building,144.065,62.0,29.17086037552493,39.239513916111335,ERR_NO_TREND,NoReversal,NoReversal,0,-4,Continuation,Average_Bull,2025-11-13 02:56:20,3,-3
8,2025-10-30,34.49,36.3,34.1,35.07,3590419,AAOI,23.967029639832816,Bull,22.94637500000002,29.497225098006787,32.473656409630756,95.36776491462545,58.077676144743236,Bull,Bull,0,23.94,1839.8112,3648,USA,Communications,44.5,9.711,46.20224719101124,59.43609022556391,ERR_NO_TREND,NoReversal,NoReversal,0,-3,Continuation,Average_Bull,2025-11-13 02:56:20,4,-1
9,2025-10-30,59.41,60.94,50.44,50.7,5852261,AAP,11.31947737210052,Bear,48.4406,56.537974075009906,55.34034911022363,-29.550716249457743,37.28623855013804,Bear+,Bear,0,51.02,2956.0957,2379,USA,Retail,70.0,28.8901,27.114285714285714,43.374950999608,ERR_NO_TREND,NoReversal,NoReversal,0,-2,Continuation,Weak_Bear,2025-11-13 02:56:20,3,-4
